3
Insert(-183.92,Value0)
Insert(233.37,Value263)
Insert(-456.92,Value264)
Insert(458.45,Value265)
Insert(-246.59,Value266)
Insert(440.81,Value267)
Insert(85.22,Value268)
Insert(-421.88,Value269)
Insert(29.92,Value270)
Insert(-456.78,Value271)
Insert(186.26,Value272)
Insert(-360.24,Value273)
Insert(-1.83,Value274)
Insert(-320.81,Value275)
Insert(129.37,Value276)
Insert(-283.61,Value277)
Insert(370.19,Value278)
Insert(-455.19,Value279)
Insert(-408.99,Value280)
Insert(168.41,Value281)
Insert(-307.15,Value282)
Insert(59.56,Value283)
Insert(224.15,Value284)
Insert(188.76,Value285)
Insert(467.75,Value286)
Insert(125.97,Value287)
Insert(-330.45,Value288)
Insert(88.52,Value289)
Insert(355.42,Value290)
Insert(-330.71,Value291)
Insert(-267.36,Value292)
Insert(366.86,Value293)
Insert(451.64,Value294)
Insert(-426.39,Value295)
Insert(-47.72,Value296)
Insert(307.73,Value297)
Insert(-203.97,Value298)
Insert(492.64,Value299)
Insert(-26.75,Value300)
Insert(218.35,Value301)
Insert(433.24,Value302)
Insert(-116.08,Value303)
Insert(173.08,Value304)
Insert(417.92,Value305)
Insert(270.13,Value306)
Insert(-53.48,Value307)
Insert(59.21,Value308)
Insert(-288.78,Value309)
Insert(-49.43,Value310)
Insert(-260.33,Value311)
Insert(471.41,Value312)
Insert(-430.93,Value313)
Insert(298.19,Value314)
Insert(-7.71,Value315)
Insert(-33.68,Value316)
Insert(-353.73,Value317)
Insert(-128.64,Value318)
Insert(-418.43,Value319)
Insert(-420.36,Value320)
Insert(282.65,Value321)
Insert(-32.52,Value322)
Insert(440.15,Value323)
Insert(-285.97,Value324)
Insert(-0.49,Value325)
Insert(-103.82,Value326)
Insert(-208.45,Value327)
Insert(-266.04,Value328)
Insert(-20.35,Value329)
Insert(0.82,Value330)
Insert(-167.92,Value331)
Insert(-251.57,Value332)
Insert(-333.09,Value333)
Insert(53.66,Value334)
Insert(-264.75,Value335)
Insert(497.63,Value336)
Insert(347.03,Value337)
Insert(-408.44,Value338)
Insert(382.18,Value339)
Insert(-421.78,Value340)
Insert(482.02,Value341)
Insert(152.09,Value342)
Insert(476.32,Value343)
Insert(-185.96,Value344)
Insert(340.71,Value345)
Insert(156.27,Value346)
Insert(-493.68,Value347)
Insert(-358.58,Value348)
Insert(-121.85,Value349)
Insert(25.45,Value350)
Insert(-248.42,Value351)
Insert(431.17,Value352)
Insert(260.73,Value353)
Insert(462.18,Value354)
Insert(217.26,Value355)
Insert(-383.57,Value356)
Insert(16.96,Value357)
Insert(-272.66,Value358)
Insert(240.61,Value359)
Insert(-289.27,Value360)
Insert(-370.24,Value361)
Insert(-81.61,Value362)
Insert(237.65,Value363)
Insert(-154.84,Value364)
Insert(422.34,Value365)
Insert(289.91,Value366)
Insert(497.54,Value367)
Insert(-347.34,Value368)
Insert(286.36,Value369)
Insert(170.55,Value370)
Insert(-274.88,Value371)
Insert(45.54,Value372)
Insert(125.83,Value373)
Insert(441.89,Value374)
Insert(200.41,Value375)
Insert(-376.46,Value376)
Insert(-438.51,Value377)
Insert(-264.99,Value378)
Insert(-133.29,Value379)
Insert(-143.21,Value380)
Insert(-360.81,Value381)
Insert(372.11,Value382)
Insert(-260.42,Value383)
Insert(-447.24,Value384)
Insert(48.81,Value385)
Insert(33.81,Value386)
Insert(-65.89,Value387)
Insert(172.48,Value388)
Insert(-365.32,Value389)
Insert(-27.93,Value390)
Insert(121.82,Value391)
Insert(451.45,Value392)
Insert(186.02,Value393)
Insert(329.38,Value394)
Insert(-117.54,Value395)
Insert(-460.38,Value396)
Insert(-378.32,Value397)
Insert(-81.59,Value398)
Insert(199.06,Value399)
Insert(-289.52,Value400)
Insert(-12.39,Value401)
Insert(461.35,Value402)
Insert(204.55,Value403)
Insert(-410.32,Value404)
Insert(430.86,Value405)
Insert(-114.13,Value406)
Insert(25.01,Value407)
Insert(393.93,Value408)
Insert(421.07,Value409)
Insert(-155.09,Value410)
Insert(268.53,Value411)
Insert(342.67,Value412)
Insert(-149.39,Value413)
Insert(225.17,Value414)
Insert(-221.49,Value415)
Insert(291.14,Value416)
Insert(-183.05,Value417)
Insert(-223.65,Value418)
Insert(417.89,Value419)
Insert(-167.47,Value420)
Insert(128.82,Value421)
Insert(-14.02,Value422)
Insert(-271.45,Value423)
Insert(-103.79,Value424)
Insert(252.84,Value425)
Insert(-178.06,Value426)
Insert(-3.79,Value427)
Insert(288.28,Value428)
Insert(79.71,Value429)
Insert(-293.43,Value430)
Insert(465.02,Value431)
Insert(455.55,Value432)
Insert(-385.23,Value433)
Insert(-294.31,Value434)
Insert(278.61,Value435)
Insert(339.93,Value436)
Insert(163.31,Value437)
Insert(81.63,Value438)
Insert(266.56,Value439)
Insert(-231.86,Value440)
Insert(-300.31,Value441)
Insert(-100.05,Value442)
Insert(-441.81,Value443)
Insert(-248.67,Value444)
Insert(381.59,Value445)
Insert(-26.15,Value446)
Insert(-307.82,Value447)
Insert(-62.34,Value448)
Insert(476.65,Value449)
Insert(-275.64,Value450)
Insert(25.26,Value451)
Insert(-383.42,Value452)
Insert(211.47,Value453)
Insert(321.21,Value454)
Insert(53.19,Value455)
Insert(242.31,Value456)
Insert(-79.54,Value457)
Insert(448.09,Value458)
Insert(-187.42,Value459)
Insert(253.52,Value460)
Insert(3.94,Value461)
Insert(89.73,Value462)
Insert(-46.25,Value463)
Insert(-488.23,Value464)
Insert(-383.69,Value465)
Insert(152.91,Value466)
Insert(481.35,Value467)
Insert(-243.63,Value468)
Insert(145.28,Value469)
Insert(386.47,Value470)
Insert(-183.03,Value471)
Insert(327.03,Value472)
Insert(-383.85,Value473)
Insert(213.08,Value474)
Insert(-99.44,Value475)
Insert(-436.14,Value476)
Insert(257.25,Value477)
Insert(335.78,Value478)
Insert(-218.71,Value479)
Insert(-220.48,Value480)
Insert(240.49,Value481)
Insert(-419.81,Value482)
Insert(277.11,Value483)
Insert(479.16,Value484)
Insert(-156.43,Value485)
Insert(-499.92,Value486)
Insert(-315.53,Value487)
Insert(-401.03,Value488)
Insert(363.04,Value489)
Insert(-466.39,Value490)
Insert(-261.81,Value491)
Insert(-185.27,Value492)
Insert(179.43,Value493)
Insert(166.23,Value494)
Insert(451.52,Value495)
Insert(-259.23,Value496)
Insert(-393.39,Value497)
Insert(-92.89,Value498)
Insert(445.45,Value499)
Insert(281.32,Value500)
Insert(271.37,Value501)
Insert(-68.03,Value502)
Insert(327.28,Value503)
Insert(-353.28,Value504)
Insert(-427.64,Value505)
Insert(378.71,Value506)
Insert(414.17,Value507)
Insert(-210.47,Value508)
Insert(305.89,Value509)
Insert(438.49,Value510)
Insert(362.51,Value511)
Insert(326.91,Value512)
Insert(223.21,Value513)
Insert(-472.56,Value514)
Insert(-320.78,Value515)
Insert(-369.29,Value516)
Insert(291.19,Value517)
Insert(219.42,Value518)
Insert(86.89,Value519)
Insert(175.33,Value520)
Insert(-361.24,Value521)
Insert(-74.47,Value522)
Insert(94.33,Value523)
Insert(-129.04,Value524)
Insert(-161.38,Value525)
Insert(-56.58,Value526)
Insert(405.54,Value527)
Insert(280.23,Value528)
Insert(-0.77,Value529)
Insert(66.68,Value530)
Insert(150.41,Value531)
Insert(140.79,Value532)
Insert(-141.47,Value533)
Insert(-186.35,Value534)
Insert(74.46,Value535)
Insert(272.79,Value536)
Insert(56.28,Value537)
Insert(-405.78,Value538)
Insert(375.37,Value539)
Insert(-277.17,Value540)
Insert(348.73,Value541)
Insert(-156.84,Value542)
Insert(-16.3,Value543)
Insert(-146.61,Value544)
Insert(43.11,Value545)
Insert(-479.91,Value546)
Insert(-280.01,Value547)
Insert(176.42,Value548)
Insert(-129.53,Value549)
Insert(-10.92,Value550)
Insert(-39.26,Value551)
Insert(225.79,Value552)
Insert(-467.48,Value553)
Insert(55.74,Value554)
Insert(63.29,Value555)
Insert(-174.87,Value556)
Insert(-450.37,Value557)
Insert(-71.08,Value558)
Insert(97.63,Value559)
Insert(-400.74,Value560)
Insert(85.07,Value561)
Insert(-204.31,Value562)
Insert(354.82,Value563)
Insert(-364.44,Value564)
Insert(455.49,Value565)
Insert(-489.88,Value566)
Insert(-3.04,Value567)
Insert(102.71,Value568)
Insert(238.94,Value569)
Insert(-162.22,Value570)
Insert(307.33,Value571)
Insert(336.65,Value572)
Insert(2.88,Value573)
Insert(91.77,Value574)
Insert(-99.31,Value575)
Insert(-50.31,Value576)
Insert(12.83,Value577)
Insert(-478.24,Value578)
Insert(-43.65,Value579)
Insert(64.29,Value580)
Insert(469.42,Value581)
Insert(-279.88,Value582)
Insert(-199.44,Value583)
Insert(-482.51,Value584)
Insert(299.88,Value585)
Insert(-353.76,Value586)
Insert(470.25,Value587)
Insert(-73.83,Value588)
Insert(208.17,Value589)
Insert(-77.35,Value590)
Insert(-446.64,Value591)
Insert(457.04,Value592)
Insert(249.01,Value593)
Insert(-410.95,Value594)
Insert(33.03,Value595)
Insert(-106.58,Value596)
Insert(-92.08,Value597)
Insert(-154.72,Value598)
Insert(20.37,Value599)
Insert(334.18,Value600)
Insert(375.15,Value601)
Insert(-131.02,Value602)
Insert(-430.33,Value603)
Insert(178.26,Value604)
Insert(28.17,Value605)
Insert(-498.34,Value606)
Insert(473.76,Value607)
Insert(17.78,Value608)
Insert(457.52,Value609)
Insert(-195.17,Value610)
Insert(201.99,Value611)
Insert(433.85,Value612)
Insert(110.77,Value613)
Insert(361.26,Value614)
Insert(-150.13,Value615)
Insert(314.85,Value616)
Insert(65.53,Value617)
Insert(-207.87,Value618)
Insert(171.92,Value619)
Insert(245.79,Value620)
Insert(333.08,Value621)
Insert(82.99,Value622)
Insert(-248.29,Value623)
Insert(166.85,Value624)
Insert(-363.28,Value625)
Insert(237.96,Value626)
Insert(-73.11,Value627)
Insert(258.43,Value628)
Insert(-189.34,Value629)
Insert(-299.52,Value630)
Insert(-18.97,Value631)
Insert(-426.76,Value632)
Insert(-328.05,Value633)
Insert(-80.75,Value634)
Insert(263.48,Value635)
Insert(-475.33,Value636)
Insert(-57.96,Value637)
Insert(345.87,Value638)
Insert(197.76,Value639)
Insert(-191.97,Value640)
Insert(490.82,Value641)
Insert(-277.55,Value642)
Insert(-15.18,Value643)
Insert(207.19,Value644)
Insert(448.52,Value645)
Insert(331.34,Value646)
Insert(-469.63,Value647)
Insert(192.09,Value648)
Insert(218.99,Value649)
Insert(-129.07,Value650)
Insert(40.58,Value651)
Insert(-364.71,Value652)
Insert(-280.99,Value653)
Insert(282.93,Value654)
Insert(462.08,Value655)
Insert(349.82,Value656)
Insert(-266.99,Value657)
Insert(-51.56,Value658)
Insert(-204.86,Value659)
Insert(267.05,Value660)
Insert(258.47,Value661)
Insert(-67.25,Value662)
Insert(16.36,Value663)
Insert(316.76,Value664)
Insert(-323.2,Value665)
Insert(455.82,Value666)
Insert(39.08,Value667)
Insert(-27.64,Value668)
Insert(-252.62,Value669)
Insert(217.37,Value670)
Insert(94.29,Value671)
Insert(-456.59,Value672)
Insert(-53.86,Value673)
Insert(-274.08,Value674)
Insert(-272.17,Value675)
Insert(-285.75,Value676)
Insert(377.28,Value677)
Insert(-326.62,Value678)
Insert(-127.34,Value679)
Insert(-196.26,Value680)
Insert(360.13,Value681)
Insert(-348.78,Value682)
Insert(84.27,Value683)
Insert(16.32,Value684)
Insert(-232.87,Value685)
Insert(31.81,Value686)
Insert(-463.93,Value687)
Insert(181.25,Value688)
Insert(248.43,Value689)
Insert(490.03,Value690)
Insert(-499.27,Value691)
Insert(119.47,Value692)
Insert(-55.08,Value693)
Insert(-81.71,Value694)
Insert(-154.4,Value695)
Insert(209.42,Value696)
Insert(-118.32,Value697)
Insert(-73.21,Value698)
Insert(414.89,Value699)
Insert(-164.09,Value700)
Insert(-423.03,Value701)
Insert(-124.62,Value702)
Insert(117.34,Value703)
Insert(-270.29,Value704)
Insert(-481.05,Value705)
Insert(-416.76,Value706)
Insert(-169.75,Value707)
Insert(-415.41,Value708)
Insert(-266.71,Value709)
Insert(-102.56,Value710)
Insert(-106.21,Value711)
Insert(278.92,Value712)
Insert(193.17,Value713)
Insert(139.35,Value714)
Insert(111.44,Value715)
Insert(483.29,Value716)
Insert(-153.78,Value717)
Insert(340.11,Value718)
Insert(287.43,Value719)
Insert(-152.79,Value720)
Insert(127.77,Value721)
Insert(145.75,Value722)
Insert(-119.37,Value723)
Insert(-52.39,Value724)
Insert(28.88,Value725)
Insert(102.11,Value726)
Insert(238.09,Value727)
Insert(-251.52,Value728)
Insert(78.97,Value729)
Insert(239.04,Value730)
Insert(103.37,Value731)
Insert(361.33,Value732)
Insert(-106.64,Value733)
Insert(174.71,Value734)
Insert(-39.84,Value735)
Insert(221.88,Value736)
Insert(67.45,Value737)
Insert(27.26,Value738)
Insert(-98.94,Value739)
Insert(156.55,Value740)
Insert(-209.01,Value741)
Insert(95.11,Value742)
Insert(210.39,Value743)
Insert(323.23,Value744)
Insert(-439.32,Value745)
Insert(441.65,Value746)
Insert(323.43,Value747)
Insert(121.15,Value748)
Insert(246.23,Value749)
Insert(333.05,Value750)
Insert(238.33,Value751)
Insert(-183.14,Value752)
Insert(-157.04,Value753)
Insert(-473.17,Value754)
Insert(381.22,Value755)
Insert(44.12,Value756)
Insert(24.18,Value757)
Insert(492.56,Value758)
Insert(144.54,Value759)
Insert(-455.21,Value760)
Insert(-28.37,Value761)
Insert(-67.46,Value762)
Insert(117.79,Value763)
Insert(-152.99,Value764)
Insert(92.06,Value765)
Insert(-167.66,Value766)
Insert(15.39,Value767)
Insert(228.19,Value768)
Insert(400.19,Value769)
Insert(380.28,Value770)
Insert(439.08,Value771)
Insert(-422.26,Value772)
Insert(430.06,Value773)
Insert(28.63,Value774)
Insert(117.63,Value775)
Insert(-272.98,Value776)
Insert(371.94,Value777)
Insert(-231.32,Value778)
Insert(-92.36,Value779)
Insert(-235.44,Value780)
Insert(-31.32,Value781)
Insert(293.91,Value782)
Insert(-425.18,Value783)
Insert(76.62,Value784)
Insert(26.99,Value785)
Insert(331.91,Value786)
Insert(-23.69,Value787)
Insert(101.33,Value788)
Insert(-102.37,Value789)
Insert(217.34,Value790)
Insert(-397.46,Value791)
Insert(-403.54,Value792)
Insert(9.88,Value793)
Insert(132.19,Value794)
Insert(-495.56,Value795)
Insert(464.84,Value796)
Insert(418.49,Value797)
Insert(-55.79,Value798)
Insert(123.03,Value799)
Insert(412.05,Value800)
Insert(-416.28,Value801)
Insert(-222.43,Value802)
Insert(-117.64,Value803)
Insert(202.48,Value804)
Insert(381.02,Value805)
Insert(404.13,Value806)
Insert(-144.76,Value807)
Insert(133.93,Value808)
Insert(25.14,Value809)
Insert(236.53,Value810)
Insert(220.54,Value811)
Insert(-330.03,Value812)
Insert(222.74,Value813)
Insert(143.13,Value814)
Insert(-44.83,Value815)
Insert(155.11,Value816)
Insert(431.16,Value817)
Insert(97.86,Value818)
Insert(135.16,Value819)
Insert(61.36,Value820)
Insert(412.84,Value821)
Insert(177.81,Value822)
Insert(378.26,Value823)
Insert(444.79,Value824)
Insert(232.57,Value825)
Insert(-152.31,Value826)
Insert(-178.04,Value827)
Insert(125.94,Value828)
Insert(-145.35,Value829)
Insert(-466.83,Value830)
Insert(-226.83,Value831)
Insert(-1.34,Value832)
Insert(-445.42,Value833)
Insert(430.94,Value834)
Insert(-179.66,Value835)
Insert(-413.17,Value836)
Insert(422.06,Value837)
Insert(-62.11,Value838)
Insert(270.11,Value839)
Insert(317.77,Value840)
Insert(133.78,Value841)
Insert(-331.34,Value842)
Insert(376.75,Value843)
Insert(281.72,Value844)
Insert(-474.66,Value845)
Insert(118.99,Value846)
Insert(-245.83,Value847)
Insert(-150.79,Value848)
Insert(181.75,Value849)
Insert(42.65,Value850)
Insert(52.02,Value851)
Insert(346.54,Value852)
Insert(-368.83,Value853)
Insert(-32.76,Value854)
Insert(-426.03,Value855)
Insert(499.42,Value856)
Insert(-380.35,Value857)
Insert(143.53,Value858)
Insert(134.88,Value859)
Insert(-477.31,Value860)
Insert(-59.74,Value861)
Insert(19.07,Value862)
Insert(244.91,Value863)
Insert(-78.84,Value864)
Insert(-263.53,Value865)
Insert(-472.24,Value866)
Insert(-380.34,Value867)
Insert(227.25,Value868)
Insert(420.92,Value869)
Insert(-154.78,Value870)
Insert(165.17,Value871)
Insert(347.29,Value872)
Insert(-153.56,Value873)
Insert(307.66,Value874)
Insert(414.02,Value875)
Insert(192.32,Value876)
Insert(53.63,Value877)
Insert(300.21,Value878)
Insert(-286.46,Value879)
Insert(291.62,Value880)
Insert(395.54,Value881)
Insert(-17.69,Value882)
Insert(-204.85,Value883)
Insert(-466.68,Value884)
Insert(-223.66,Value885)
Insert(220.66,Value886)
Insert(482.69,Value887)
Insert(-487.42,Value888)
Insert(40.1,Value889)
Insert(-490.64,Value890)
Insert(221.97,Value891)
Insert(385.94,Value892)
Insert(-490.32,Value893)
Insert(-139.45,Value894)
Insert(292.44,Value895)
Insert(-218.23,Value896)
Insert(45.72,Value897)
Insert(-157.29,Value898)
Insert(13.48,Value899)
Insert(-463.91,Value900)
Insert(-467.24,Value901)
Insert(28.37,Value902)
Insert(-0.29,Value903)
Insert(76.12,Value904)
Insert(341.57,Value905)
Insert(388.07,Value906)
Insert(61.72,Value907)
Insert(352.27,Value908)
Insert(-205.56,Value909)
Insert(233.65,Value910)
Insert(-370.37,Value911)
Insert(-302.08,Value912)
Insert(144.36,Value913)
Insert(-65.38,Value914)
Insert(65.76,Value915)
Insert(-35.41,Value916)
Insert(-399.12,Value917)
Insert(-403.39,Value918)
Insert(289.32,Value919)
Insert(-117.96,Value920)
Insert(-0.97,Value921)
Insert(-279.97,Value922)
Insert(-228.26,Value923)
Insert(-431.82,Value924)
Insert(100.96,Value925)
Insert(211.44,Value926)
Insert(471.85,Value927)
Insert(-416.24,Value928)
Insert(377.19,Value929)
Insert(-185.22,Value930)
Insert(355.72,Value931)
Insert(491.91,Value932)
Insert(-213.88,Value933)
Insert(-74.32,Value934)
Insert(-98.09,Value935)
Insert(-278.94,Value936)
Insert(308.05,Value937)
Insert(328.82,Value938)
Insert(353.12,Value939)
Insert(293.21,Value940)
Insert(-46.64,Value941)
Insert(-257.72,Value942)
Insert(-375.48,Value943)
Insert(-431.16,Value944)
Insert(-266.65,Value945)
Insert(91.74,Value946)
Insert(373.96,Value947)
Insert(291.66,Value948)
Insert(-189.99,Value949)
Insert(210.61,Value950)
Insert(-69.97,Value951)
Insert(238.16,Value952)
Insert(442.07,Value953)
Insert(-268.28,Value954)
Insert(169.52,Value955)
Insert(-135.46,Value956)
Insert(-158.58,Value957)
Insert(278.46,Value958)
Insert(-211.71,Value959)
Insert(241.18,Value960)
Insert(-219.85,Value961)
Insert(447.39,Value962)
Insert(-350.62,Value963)
Insert(443.54,Value964)
Insert(-266.62,Value965)
Insert(161.96,Value966)
Insert(-189.01,Value967)
Insert(213.69,Value968)
Insert(-369.37,Value969)
Insert(38.03,Value970)
Insert(-212.19,Value971)
Insert(470.78,Value972)
Insert(-403.99,Value973)
Insert(439.19,Value974)
Insert(450.79,Value975)
Insert(137.52,Value976)
Insert(-215.78,Value977)
Insert(-370.52,Value978)
Insert(-373.06,Value979)
Insert(-393.73,Value980)
Insert(-472.94,Value981)
Insert(286.75,Value982)
Insert(-67.38,Value983)
Insert(255.58,Value984)
Insert(411.08,Value985)
Insert(-50.18,Value986)
Insert(252.37,Value987)
Insert(-130.37,Value988)
Insert(-56.81,Value989)
Insert(130.74,Value990)
Insert(-76.72,Value991)
Insert(320.32,Value992)
Insert(-165.11,Value993)
Insert(114.77,Value994)
Insert(-226.54,Value995)
Insert(45.77,Value996)
Insert(-456.52,Value997)
Insert(-325.94,Value998)
Insert(369.06,Value999)
Insert(-346.27,Value1000)
Insert(-377.27,Value1001)
Insert(-422.25,Value1002)
Insert(399.02,Value1003)
Insert(473.36,Value1004)
Insert(-103.63,Value1005)
Insert(224.63,Value1006)
Insert(-66.14,Value1007)
Insert(-213.95,Value1008)
Insert(213.34,Value1009)
Insert(-162.93,Value1010)
Insert(486.12,Value1011)
Insert(305.35,Value1012)
Insert(-483.16,Value1013)
Insert(233.49,Value1014)
Insert(471.43,Value1015)
Insert(-467.22,Value1016)
Insert(-55.21,Value1017)
Insert(389.85,Value1018)
Insert(277.73,Value1019)
Insert(144.05,Value1020)
Insert(-428.46,Value1021)
Insert(436.77,Value1022)
Insert(116.92,Value1023)
Insert(76.09,Value1024)
Insert(22.06,Value1025)
Insert(81.82,Value1026)
Insert(-483.34,Value1027)
Insert(-28.59,Value1028)
Insert(119.22,Value1029)
Insert(-93.31,Value1030)
Insert(-412.27,Value1031)
